product_id,category,code,price,product_name
108,국내주식,210,28200,미래에셋비전스팩3호
109,국내채권(장내),211,10900,농금채(중앙회)2023-11이2Y-C
110,해외주식,212,39400,TSLA
111,국내주식,213,33400,농업금융채권(은행)2023-08이2Y-H
112,국내ETF,214,27200,농업금융채권(은행)2023-07이2Y-D
113,국내주식,215,37400,농업금융채권(은행)2022-08이2Y-E
114,국내채권(장내),216,24700,농업금융채권(은행)2021-04이-B(신종)
115,해외주식,217,1700,DIS
116,국내주식,218,11800,농업금융채권(은행)2022-07이-A(신종)
117,국내ETF,219,2900,농업금융채권(은행)2022-04이-A(신종)
118,국내주식,220,11400,농업금융채권(은행)2021-04이-A(신종)
119,국내채권(장내),221,2600,농업금융채권(은행)2020-08이5Y-B
120,해외주식,222,22300,V
121,국내주식,223,29500,농금(은행)조건부(상)2019-10이10Y-갑(후)
122,국내ETF,224,16000,한국수출입금융2311사-이표-1.5
123,국내채권(장내),226,26800,수산금융채권(일반)09-08이표24-30호
124,국내채권(장내),227,41600,수산금융채권(경제)45-01이표36-22호
125,국내채권(장내),228,34100,수산금융채권(은행)20-3이영구(신종)-13
126,국내채권(장내),229,5400,수산금융채권(은행)19-03이영구(신종)-07
127,국내채권(장내),230,32700,과천도시공사2021-1
